T/|J| M2/N2 H/N C
0.05 1 -2 0
0.1 1 -2 0
0.15 1 -2 0
0.2 1 -2 0
0.25 1 -2 7.77618e-11
0.3 1 -2 1.11915e-08
0.35 1 -2 3.71077e-07
0.4 1 -2 4.94677e-06
0.45 1 -2 3.60674e-05
0.5 0.999999 -2 0.000172854
0.55 0.999998 -1.99999 0.000611777
0.6 0.999992 -1.99998 0.00172754
0.65 0.999977 -1.99995 0.00410506
0.7 0.999946 -1.99987 0.00852543
0.75 0.999883 -1.99972 0.0159081
0.8 0.999773 -1.99946 0.0272259
0.85 0.999591 -1.99902 0.0434124
0.9 0.999311 -1.99835 0.0652788
0.95 0.9989 -1.99736 0.0934511
1 0.998326 -1.99598 0.128329
1.05 0.997552 -1.99412 0.170071
1.1 0.996543 -1.9917 0.21859
1.15 0.995264 -1.98863 0.273579
1.2 0.993683 -1.98484 0.334528
1.25 0.991772 -1.98025 0.400765
1.3 0.989503 -1.9748 0.471487
1.35 0.986857 -1.96845 0.545802
1.4 0.983817 -1.96114 0.622758
1.45 0.980373 -1.95287 0.701385
1.5 0.976518 -1.94361 0.780718
1.55 0.972251 -1.93335 0.859824
1.6 0.967577 -1.92212 0.937828
1.65 0.962503 -1.90991 1.01392
1.7 0.957043 -1.89678 1.08739
1.75 0.95121 -1.88274 1.15759
1.8 0.945025 -1.86785 1.224
1.85 0.938509 -1.85216 1.28618
1.9 0.931684 -1.83572 1.34378
1.95 0.924577 -1.81859 1.39657
2 0.917212 -1.80083 1.44438
2.05 0.909617 -1.7825 1.48713
2.1 0.901817 -1.76367 1.52481
2.15 0.893841 -1.7444 1.55747
2.2 0.885713 -1.72475 1.58521
2.25 0.877459 -1.70479 1.60819
2.3 0.869105 -1.68457 1.62659
2.35 0.860672 -1.66414 1.64063
2.4 0.852185 -1.64357 1.65055
2.45 0.843662 -1.62289 1.6566
2.5 0.835125 -1.60217 1.65903
2.55 0.826591 -1.58143 1.65813
2.6 0.818078 -1.56073 1.65416
2.65 0.809599 -1.54009 1.64737
2.7 0.80117 -1.51955 1.63804
2.75 0.792802 -1.49915 1.62641
2.8 0.784507 -1.4789 1.61272
2.85 0.776295 -1.45884 1.59719
2.9 0.768176 -1.43898 1.58005
2.95 0.760155 -1.41934 1.56149
3 0.752242 -1.39995 1.54171
3.05 0.74444 -1.3808 1.52087
3.1 0.736755 -1.36193 1.49915
3.15 0.729191 -1.34333 1.47669
3.2 0.721752 -1.32501 1.45362
3.25 0.714439 -1.30699 1.43008
3.3 0.707256 -1.28926 1.40618
3.35 0.700202 -1.27184 1.38201
3.4 0.69328 -1.25471 1.35767
3.45 0.68649 -1.2379 1.33324
3.5 0.679831 -1.22138 1.3088
3.55 0.673304 -1.20518 1.28441
3.6 0.666907 -1.18927 1.26013
3.65 0.660641 -1.17367 1.23601
3.7 0.654503 -1.15837 1.2121
3.75 0.648493 -1.14337 1.18843
3.8 0.642608 -1.12866 1.16504
3.85 0.636847 -1.11424 1.14195
3.9 0.631209 -1.10011 1.1192
3.95 0.625691 -1.08626 1.0968
4 0.620291 -1.07269 1.07477
