T/|J| M2/N2 H/N C
0.05 1 -2 0
0.1 1 -2 0
0.15 1 -2 0
0.2 1 -2 0
0.25 1 -2 2.54659e-10
0.3 1 -2 4.65611e-08
0.35 1 -2 1.54626e-06
0.4 1 -2 2.06157e-05
0.45 1 -2 0.000150374
0.5 1 -2 0.000721313
0.55 0.999998 -2 0.00255707
0.6 0.999994 -1.99999 0.00723964
0.65 0.999983 -1.99996 0.0172703
0.7 0.999958 -1.99991 0.0360614
0.75 0.999909 -1.99981 0.0677703
0.8 0.999821 -1.99963 0.117037
0.85 0.999675 -1.99933 0.188697
0.9 0.999445 -1.99886 0.287531
0.95 0.999104 -1.99816 0.418077
1 0.998615 -1.99716 0.58452
1.05 0.99794 -1.99579 0.790655
1.1 0.997035 -1.99397 1.03991
1.15 0.995853 -1.9916 1.33541
1.2 0.994341 -1.98859 1.68011
1.25 0.99244 -1.98485 2.07689
1.3 0.990089 -1.98025 2.52873
1.35 0.987219 -1.97469 3.03886
1.4 0.983755 -1.96805 3.61089
1.45 0.979613 -1.9602 4.2489
1.5 0.974703 -1.95101 4.95747
1.55 0.968922 -1.94032 5.74155
1.6 0.962161 -1.92799 6.60615
1.65 0.954296 -1.91384 7.55584
1.7 0.945199 -1.89771 8.5939
1.75 0.934731 -1.87941 9.72129
1.8 0.922755 -1.85877 10.9352
1.85 0.909136 -1.83561 12.2279
1.9 0.893756 -1.80981 13.5848
1.95 0.876518 -1.78125 14.9844
2 0.857364 -1.74986 16.3969
2.05 0.836284 -1.71567 17.7857
2.1 0.813325 -1.67877 19.1091
2.15 0.788598 -1.63931 20.3227
2.2 0.762281 -1.59758 21.3834
2.25 0.734613 -1.55391 22.2533
2.3 0.705883 -1.50871 22.9034
2.35 0.676418 -1.46245 23.3158
2.4 0.646562 -1.41561 23.4854
2.45 0.616659 -1.36867 23.4194
2.5 0.587035 -1.32208 23.1358
2.55 0.557985 -1.27625 22.6609
2.6 0.529761 -1.23154 22.026
2.65 0.502567 -1.18823 21.2649
2.7 0.476557 -1.14654 20.4109
2.75 0.45184 -1.10663 19.4951
2.8 0.428479 -1.06858 18.545
2.85 0.406502 -1.03246 17.5839
2.9 0.385905 -0.998243 16.6305
2.95 0.366662 -0.965918 15.6993
3 0.348727 -0.935424 14.801
3.05 0.33204 -0.906688 13.943
3.1 0.316537 -0.879622 13.1298
3.15 0.302144 -0.854137 12.364
3.2 0.28879 -0.830134 11.6463
3.25 0.2764 -0.80752 10.9762
3.3 0.264904 -0.786199 10.3523
3.35 0.254233 -0.766081 9.77262
3.4 0.244322 -0.74708 9.23481
3.45 0.235111 -0.729116 8.73629
3.5 0.226542 -0.712111 8.27438
3.55 0.218564 -0.695995 7.84644
3.6 0.211128 -0.680704 7.44987
3.65 0.20419 -0.666177 7.0822
3.7 0.197708 -0.652358 6.74109
3.75 0.191646 -0.639196 6.42436
3.8 0.18597 -0.626645 6.12997
3.85 0.180648 -0.614662 5.85606
3.9 0.175653 -0.603208 5.6009
3.95 0.170959 -0.592247 5.36292
4 0.166542 -0.581746 5.14069
