T/|J| M2/N2 H/N C
0.05 1 -2 0
0.1 1 -2 0
0.15 1 -2 0
0.2 1 -2 0
0.25 1 -2 1.74623e-10
0.3 1 -2 2.98314e-08
0.35 1 -2 9.8959e-07
0.4 1 -2 1.31941e-05
0.45 1 -2 9.62395e-05
0.5 1 -2 0.000461641
0.55 0.999998 -2 0.00163653
0.6 0.999994 -1.99999 0.00463339
0.65 0.999983 -1.99996 0.0110531
0.7 0.999959 -1.99991 0.0230801
0.75 0.999911 -1.99981 0.0433762
0.8 0.999825 -1.99963 0.0749148
0.85 0.999683 -1.99933 0.120799
0.9 0.999459 -1.99886 0.184108
0.95 0.999125 -1.99816 0.267779
1 0.998649 -1.99716 0.37455
1.05 0.99799 -1.99579 0.506945
1.1 0.997108 -1.99396 0.66729
1.15 0.995954 -1.99159 0.857766
1.2 0.994477 -1.98857 1.08046
1.25 0.99262 -1.9848 1.33742
1.3 0.990322 -1.98017 1.63068
1.35 0.987516 -1.97457 1.96226
1.4 0.984129 -1.96786 2.33414
1.45 0.980086 -1.95993 2.7481
1.5 0.975302 -1.95064 3.2056
1.55 0.969694 -1.93985 3.7075
1.6 0.963171 -1.92742 4.25379
1.65 0.955645 -1.91322 4.84323
1.7 0.947029 -1.89711 5.47301
1.75 0.937244 -1.87898 6.13845
1.8 0.926218 -1.85872 6.83277
1.85 0.913897 -1.83625 7.54695
1.9 0.900245 -1.81154 8.26986
1.95 0.885248 -1.78457 8.98851
2 0.868922 -1.75538 9.68852
2.05 0.851309 -1.72405 10.3549
2.1 0.832484 -1.69071 10.9726
2.15 0.812549 -1.65554 11.5277
2.2 0.791633 -1.61874 12.0081
2.25 0.769888 -1.58058 12.4042
2.3 0.747481 -1.54131 12.7093
2.35 0.724591 -1.50124 12.92
2.4 0.7014 -1.46066 13.0364
2.45 0.678087 -1.41986 13.0613
2.5 0.654826 -1.37912 13.0002
2.55 0.631774 -1.33869 12.861
2.6 0.609073 -1.29881 12.6525
2.65 0.586849 -1.25967 12.3847
2.7 0.565206 -1.22145 12.0679
2.75 0.544227 -1.18429 11.712
2.8 0.523977 -1.14828 11.3267
2.85 0.504505 -1.11352 10.9206
2.9 0.48584 -1.08004 10.5015
2.95 0.468 -1.04789 10.0761
3 0.450988 -1.01707 9.65016
3.05 0.4348 -0.987574 9.22838
3.1 0.419421 -0.959384 8.81452
3.15 0.404832 -0.932471 8.41152
3.2 0.391006 -0.906798 8.02157
3.25 0.377916 -0.882321 7.64626
3.3 0.36553 -0.858993 7.28662
3.35 0.353814 -0.836763 6.94326
3.4 0.342736 -0.81558 6.61644
3.45 0.332263 -0.795393 6.30613
3.5 0.32236 -0.77615 6.01209
3.55 0.312996 -0.757801 5.73392
3.6 0.304139 -0.740297 5.4711
3.65 0.295759 -0.723591 5.22301
3.7 0.287828 -0.707639 4.98901
3.75 0.280317 -0.692396 4.7684
3.8 0.273201 -0.677823 4.56047
3.85 0.266455 -0.663881 4.36452
3.9 0.260056 -0.650533 4.17986
3.95 0.253984 -0.637745 4.00582
4 0.248216 -0.625486 3.84174
